                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.92565,                0.54942,                 1.1006,                0.93731,                0.86105,                0.92144,                0.75464,                0.83488,                0.66664,                 1.1251,              0.0060966,              0.0060966,              0.0060966
                    140,                0.91416,                 0.5393,                 1.0934,                0.93157,                0.86387,                0.92036,                0.75512,                 0.8351,                0.66579,                 1.1258,              0.0060683,              0.0060683,              0.0060683
                    141,                0.92415,                 0.5459,                 1.0985,                0.93968,                0.85635,                0.92187,                 0.7552,                0.83541,                0.66511,                 1.1249,                0.00604,                0.00604,                0.00604
                    142,                 0.9229,                0.54286,                 1.0978,                 0.9439,                0.85602,                 0.9227,                0.75413,                  0.839,                0.66397,                 1.1259,              0.0060117,              0.0060117,              0.0060117
                    143,                0.91288,                0.54053,                 1.0967,                0.94615,                 0.8534,                0.92167,                0.75606,                0.83775,                0.66351,                 1.1248,              0.0059834,              0.0059834,              0.0059834
                    144,                0.91305,                0.53359,                 1.0937,                 0.9471,                 0.8534,                0.92162,                0.75635,                0.83827,                  0.665,                 1.1252,              0.0059551,              0.0059551,              0.0059551
                    145,                0.92248,                0.53179,                 1.0976,                0.92456,                0.86625,                0.92007,                0.75639,                 0.8369,                0.66447,                 1.1249,              0.0059269,              0.0059269,              0.0059269
                    146,                0.91594,                0.53471,                 1.1021,                 0.9445,                 0.8464,                 0.9201,                  0.757,                0.83621,                0.66126,                  1.124,              0.0058986,              0.0058986,              0.0058986
                    147,                 0.9029,                0.52447,                 1.0971,                0.92643,                0.86126,                0.91909,                0.75756,                0.83691,                0.65925,                 1.1243,              0.0058703,              0.0058703,              0.0058703
                    148,                0.90342,                0.52781,                 1.0987,                0.94651,                0.84555,                0.91887,                  0.757,                0.83781,                0.65971,                 1.1243,               0.005842,               0.005842,               0.005842
                    149,                0.91124,                0.52944,                 1.0857,                0.94726,                0.84555,                0.91878,                0.75569,                0.83819,                0.66226,                 1.1246,              0.0058137,              0.0058137,              0.0058137
